,service,qnt,cnt
652,Prime,Gallagher,9
651,Netflix,Joe Pantoliano,9
633,Netflix,Sarah Natochenny,9
649,Netflix,Forest Whitaker,9
648,Netflix,Lacey Chabert,9
647,Prime,Basil Rathbone,9
646,Netflix,Joseph Gordon-Levitt,9
966,Netflix,Lisa Kudrow,8
960,Prime,Katrina Kaif,8
965,Netflix,Saurav Chakraborty,8
964,Netflix,Leonardo Sbaraglia,8
963,Netflix,James Cosmo,8
962,Prime,Richa Chadha,8
961,Netflix,Lillete Dubey,8
958,Netflix,Michael Gross,8
959,Prime,Joe Mantegna,8
952,Netflix,Dimple Kapadia,8
957,Netflix,Yui Horie,8
953,Netflix,Emory Cohen,8
955,Netflix,Audu Paden,8
954,Prime,Jack Mulhall,8
